,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled
COLQUITT,,78.0,2.0,18.0,351.0,67.0,6.0,22.0,91.0,2.0,2.0,55.0,3.0,1.0,25.0,57.0,,3.0,2.0,7.0,10.0,732.0,112.0,26.0,116.0,1536.0,2.0,1.0,,,,1.0,,,,4.0,,,,,,,,,1.0,,,,,1.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,,
COLUMBIA,10.0,105.0,9.0,60.0,802.0,82.0,19.0,110.0,208.0,1.0,,19.0,1.0,5.0,17.0,58.0,6.0,17.0,36.0,195.0,264.0,1365.0,243.0,212.0,985.0,7530.0,8.0,3.0,1.0,,,7.0,13.0,,,6.0,,7.0,,,2.0,,4.0,,,1.0,,,,6.0,,,2.0,,,,,,,,,1.0,1.0,2.0,1.0,,,,,,,,
COOK,1.0,39.0,,4.0,148.0,23.0,1.0,7.0,32.0,,,3.0,,,,2.0,,2.0,1.0,8.0,,206.0,21.0,12.0,42.0,516.0,,1.0,,,,,,,,1.0,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COWETA,3.0,153.0,10.0,70.0,798.0,83.0,8.0,93.0,183.0,,1.0,167.0,4.0,5.0,117.0,223.0,2.0,6.0,42.0,240.0,83.0,1207.0,200.0,70.0,910.0,4893.0,4.0,,2.0,,,4.0,4.0,,2.0,4.0,,1.0,3.0,5.0,1.0,,1.0,,,,,,,8.0,,6.0,,1.0,,,4.0,,,,,,,,2.0,,,,,2.0,,,
CRAWFORD,,44.0,1.0,6.0,113.0,6.0,1.0,4.0,30.0,,,1.0,,,,6.0,,,,3.0,,117.0,4.0,4.0,39.0,428.0,2.0,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRISP,,94.0,,4.0,141.0,28.0,,4.0,22.0,,1.0,66.0,1.0,1.0,7.0,21.0,,,,6.0,10.0,547.0,11.0,10.0,35.0,529.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
DADE,,,,9.0,147.0,,,10.0,49.0,,1.0,,1.0,,4.0,22.0,,1.0,3.0,13.0,7.0,20.0,10.0,5.0,49.0,1324.0,,1.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
DAWSON,,,1.0,16.0,253.0,,2.0,14.0,44.0,,,,,,5.0,10.0,,,1.0,42.0,6.0,11.0,23.0,6.0,43.0,643.0,1.0,1.0,,,,2.0,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
DECATUR,,124.0,1.0,9.0,222.0,52.0,5.0,13.0,73.0,,,48.0,,,9.0,26.0,,3.0,2.0,21.0,12.0,673.0,30.0,15.0,72.0,934.0,1.0,1.0,,,,,3.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEKALB,54.0,2303.0,42.0,250.0,1898.0,664.0,39.0,81.0,159.0,1.0,1.0,720.0,15.0,12.0,112.0,57.0,10.0,123.0,57.0,352.0,1180.0,24585.0,881.0,953.0,4755.0,13471.0,32.0,3.0,22.0,24.0,39.0,12.0,21.0,,,24.0,6.0,72.0,,,16.0,6.0,26.0,1.0,,1.0,,2.0,1.0,14.0,,,9.0,,13.0,,,3.0,,5.0,1.0,7.0,2.0,5.0,,,2.0,1.0,1.0,,,,1.0
DODGE,2.0,51.0,,4.0,183.0,38.0,,20.0,70.0,,2.0,26.0,,,7.0,28.0,,2.0,,9.0,1.0,251.0,8.0,3.0,11.0,646.0,,,4.0,,2.0,,,,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
DOOLY,,54.0,,2.0,61.0,30.0,4.0,8.0,22.0,,,21.0,1.0,,3.0,10.0,,1.0,,3.0,2.0,200.0,24.0,4.0,12.0,196.0,1.0,,5.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOUGHERTY,1.0,481.0,2.0,31.0,434.0,596.0,7.0,165.0,73.0,,1.0,325.0,2.0,,79.0,50.0,3.0,18.0,7.0,37.0,45.0,3261.0,63.0,48.0,214.0,1904.0,3.0,,4.0,,,3.0,,,,7.0,,4.0,,,1.0,,4.0,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,
DOUGLAS,1.0,197.0,4.0,55.0,622.0,325.0,26.0,101.0,216.0,1.0,,111.0,4.0,1.0,45.0,100.0,,43.0,10.0,73.0,67.0,2824.0,204.0,146.0,841.0,3122.0,4.0,1.0,1.0,,,1.0,5.0,1.0,1.0,19.0,,1.0,,,1.0,1.0,8.0,,,,,,,2.0,,,2.0,,11.0,,,2.0,,,,,,1.0,,,,,,,,,
EARLY,,52.0,,3.0,89.0,23.0,,6.0,12.0,4.0,,33.0,,,5.0,15.0,,4.0,,15.0,3.0,264.0,6.0,3.0,11.0,296.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECHOLS,,3.0,,1.0,23.0,,2.0,2.0,26.0,,,,,,,1.0,,,,,1.0,11.0,13.0,1.0,7.0,122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EFFINGHAM,1.0,56.0,,34.0,333.0,26.0,3.0,35.0,72.0,1.0,,11.0,,,7.0,16.0,,3.0,11.0,56.0,30.0,358.0,48.0,21.0,152.0,2663.0,2.0,,,,,3.0,5.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELBERT,,76.0,,2.0,176.0,13.0,1.0,7.0,25.0,1.0,,6.0,,1.0,2.0,3.0,,1.0,,11.0,7.0,315.0,12.0,7.0,17.0,622.0,,,1.0,,,,,,,3.0,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
EMANUEL,,87.0,2.0,6.0,226.0,39.0,3.0,25.0,55.0,18.0,2.0,38.0,1.0,1.0,24.0,18.0,,3.0,2.0,10.0,5.0,431.0,15.0,14.0,48.0,608.0,,,5.0,,,,,,4.0,1.0,,,2.0,2.0,,,,,1.0,,,,,1.0,,,,,6.0,,,5.0,,,,,,,,,,,,,,,
EVANS,1.0,38.0,1.0,3.0,80.0,10.0,1.0,6.0,13.0,,,15.0,1.0,,17.0,12.0,,,,4.0,2.0,145.0,23.0,4.0,15.0,235.0,,,,,,2.0,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FANNIN,,1.0,,10.0,389.0,,,17.0,84.0,,1.0,,1.0,,1.0,9.0,,,4.0,56.0,4.0,6.0,8.0,2.0,44.0,1486.0,,1.0,6.0,,,,9.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
FAYETTE,7.0,122.0,3.0,74.0,626.0,106.0,14.0,60.0,145.0,,1.0,52.0,2.0,1.0,40.0,79.0,2.0,15.0,29.0,159.0,147.0,1122.0,164.0,96.0,1099.0,4606.0,3.0,1.0,1.0,,,5.0,3.0,,,8.0,,3.0,1.0,,1.0,,7.0,1.0,,1.0,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,
FLOYD,,116.0,1.0,36.0,816.0,74.0,25.0,85.0,235.0,1.0,3.0,37.0,1.0,1.0,18.0,58.0,1.0,4.0,9.0,58.0,67.0,697.0,195.0,44.0,171.0,3604.0,8.0,,2.0,,,3.0,2.0,1.0,,5.0,,3.0,,,,1.0,6.0,,,,,,,2.0,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,
FORSYTH,8.0,10.0,4.0,160.0,843.0,22.0,25.0,115.0,229.0,,1.0,4.0,,,27.0,45.0,6.0,8.0,120.0,497.0,233.0,265.0,259.0,136.0,470.0,6841.0,7.0,3.0,1.0,,,7.0,6.0,,,4.0,,4.0,,,1.0,1.0,21.0,,,,,,,11.0,,,1.0,,,,,1.0,,,1.0,,,1.0,,,,,,,,1.0,
FRANKLIN,,17.0,,10.0,270.0,2.0,,7.0,27.0,,1.0,3.0,,,4.0,12.0,,,1.0,20.0,12.0,83.0,8.0,3.0,23.0,814.0,1.0,,,,10.0,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FULTON,57.0,3252.0,48.0,720.0,2611.0,3310.0,196.0,1043.0,1399.0,10.0,2.0,1159.0,9.0,9.0,231.0,128.0,25.0,204.0,190.0,719.0,1506.0,28179.0,1135.0,1542.0,10078.0,24886.0,33.0,15.0,5.0,,,20.0,39.0,1.0,2.0,137.0,,17.0,1.0,,17.0,,137.0,,1.0,,,,,25.0,,,13.0,1.0,6.0,,,4.0,,,1.0,4.0,,3.0,,,,1.0,1.0,,,,
GILMER,,,,13.0,349.0,,2.0,12.0,59.0,,,1.0,,,2.0,6.0,,,2.0,50.0,,4.0,47.0,11.0,106.0,1429.0,,,,,3.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLASCOCK,,1.0,,1.0,34.0,,,1.0,10.0,,,,,,,4.0,,,,1.0,,4.0,2.0,,3.0,67.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLYNN,1.0,178.0,1.0,51.0,680.0,139.0,11.0,79.0,233.0,5.0,5.0,78.0,,1.0,23.0,54.0,,4.0,8.0,36.0,42.0,1250.0,97.0,65.0,444.0,3498.0,5.0,1.0,6.0,,,1.0,6.0,,1.0,10.0,,2.0,3.0,4.0,1.0,1.0,,,,,,,,,,,,,1.0,,1.0,2.0,,,,,,,,,,,,,,,
GORDON,1.0,12.0,,7.0,427.0,7.0,7.0,26.0,117.0,,,14.0,1.0,1.0,31.0,126.0,,3.0,3.0,46.0,30.0,89.0,194.0,28.0,54.0,2333.0,4.0,,,,8.0,,4.0,,,,,4.0,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
GRADY,,56.0,2.0,9.0,183.0,32.0,1.0,12.0,31.0,4.0,2.0,27.0,,,13.0,28.0,,1.0,,7.0,8.0,495.0,26.0,9.0,52.0,981.0,,,,,,,2.0,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
GREENE,,69.0,1.0,9.0,148.0,41.0,1.0,8.0,28.0,,,3.0,,,2.0,2.0,,1.0,3.0,43.0,1.0,292.0,8.0,3.0,21.0,389.0,,,43.0,,1.0,1.0,26.0,,,,1.0,,,,,,,,,,,,,2.0,,,,,22.0,,,3.0,,2.0,,,,,,,,,,,,,
GWINNETT,147.0,561.0,47.0,294.0,2662.0,908.0,368.0,396.0,734.0,7.0,4.0,205.0,51.0,16.0,198.0,159.0,28.0,144.0,123.0,720.0,3491.0,11201.0,2913.0,1205.0,5799.0,17307.0,54.0,12.0,3.0,4.0,7.0,14.0,37.0,1.0,2.0,87.0,,72.0,62.0,28.0,6.0,3.0,210.0,6.0,4.0,8.0,,,,29.0,1.0,,25.0,10.0,2.0,,24.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,,,,,,,,21.0,
HABERSHAM,2.0,9.0,,16.0,395.0,7.0,12.0,25.0,144.0,,2.0,18.0,,,13.0,37.0,1.0,,3.0,53.0,48.0,41.0,77.0,11.0,30.0,1569.0,1.0,,3.0,,,2.0,2.0,,,1.0,,1.0,,,,,4.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
HALL,6.0,88.0,4.0,82.0,1226.0,59.0,71.0,153.0,284.0,,1.0,16.0,8.0,,24.0,40.0,1.0,5.0,18.0,132.0,127.0,713.0,964.0,120.0,621.0,5697.0,12.0,2.0,7.0,,,8.0,7.0,,1.0,6.0,,2.0,,,1.0,1.0,9.0,,,2.0,,,,5.0,,,2.0,,,,2.0,2.0,1.0,,,,,,,,,,,,,,
HANCOCK,,90.0,,1.0,29.0,76.0,,60.0,68.0,,,4.0,,,,,,1.0,,,,230.0,1.0,1.0,4.0,98.0,,,,,,,1.0,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HARALSON,,16.0,,10.0,325.0,5.0,,13.0,76.0,1.0,,15.0,,,28.0,99.0,1.0,,1.0,23.0,8.0,62.0,11.0,6.0,84.0,1142.0,1.0,,1.0,,,2.0,,,,,,,,6.0,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,
HARRIS,,70.0,2.0,8.0,257.0,18.0,2.0,12.0,77.0,3.0,,12.0,,,4.0,32.0,,3.0,2.0,80.0,16.0,316.0,27.0,17.0,71.0,1539.0,5.0,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
HART,,33.0,1.0,8.0,218.0,17.0,1.0,14.0,47.0,,,3.0,,,2.0,10.0,,3.0,3.0,33.0,16.0,235.0,8.0,7.0,32.0,979.0,,,,,,1.0,3.0,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
HEARD,2.0,17.0,1.0,3.0,126.0,,,1.0,1.0,,,2.0,,,,9.0,,1.0,,8.0,3.0,55.0,6.0,3.0,49.0,592.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HENRY,6.0,325.0,18.0,97.0,939.0,432.0,39.0,132.0,228.0,14.0,5.0,301.0,5.0,24.0,106.0,235.0,2.0,43.0,16.0,122.0,223.0,4021.0,367.0,438.0,930.0,5446.0,8.0,1.0,2.0,,,3.0,7.0,1.0,1.0,32.0,,4.0,2.0,,5.0,,14.0,,2.0,3.0,,,,4.0,,,4.0,,3.0,,,2.0,,,1.0,,,,,,,,,,,,
HOUSTON,8.0,269.0,9.0,36.0,920.0,220.0,25.0,103.0,228.0,,,131.0,5.0,1.0,58.0,89.0,3.0,11.0,20.0,105.0,201.0,2529.0,286.0,155.0,782.0,5958.0,9.0,1.0,2.0,2.0,1.0,1.0,7.0,,1.0,9.0,1.0,8.0,,,1.0,2.0,9.0,1.0,,1.0,,,,3.0,2.0,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,
IRWIN,,23.0,,3.0,94.0,22.0,,7.0,42.0,1.0,,10.0,,,1.0,8.0,,,,18.0,1.0,79.0,5.0,1.0,7.0,174.0,1.0,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,1.0,,,,,,,,,,,,,,,
JACKSON,1.0,38.0,1.0,21.0,477.0,11.0,11.0,52.0,144.0,1.0,4.0,1.0,,,3.0,13.0,1.0,2.0,2.0,47.0,53.0,191.0,76.0,18.0,156.0,1840.0,4.0,1.0,,,16.0,1.0,4.0,,3.0,3.0,2.0,1.0,2.0,7.0,,,3.0,,,,,,,1.0,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,3.0,
JASPER,,27.0,,4.0,116.0,6.0,1.0,4.0,37.0,,,28.0,,,4.0,38.0,,,,7.0,,114.0,6.0,4.0,35.0,493.0,,,,,,1.0,3.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEFF DAVIS,,17.0,,2.0,150.0,12.0,5.0,14.0,42.0,,,14.0,,,5.0,34.0,,2.0,,2.0,1.0,143.0,30.0,9.0,19.0,531.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEFFERSON,,110.0,,6.0,110.0,36.0,,21.0,12.0,3.0,,10.0,,,1.0,4.0,,2.0,1.0,2.0,2.0,425.0,3.0,1.0,24.0,344.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JENKINS,1.0,35.0,,5.0,70.0,12.0,2.0,7.0,16.0,2.0,,5.0,,,2.0,2.0,,,,2.0,3.0,162.0,4.0,1.0,12.0,199.0,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOHNSON,,32.0,,,85.0,11.0,,3.0,27.0,,,2.0,,,,,,,,2.0,,96.0,1.0,2.0,3.0,223.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JONES,,78.0,,2.0,218.0,25.0,,24.0,51.0,,3.0,27.0,,,7.0,67.0,,2.0,,15.0,9.0,278.0,9.0,5.0,8.0,904.0,,,4.0,,,,2.0,,2.0,,,4.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
LAMAR,1.0,37.0,1.0,12.0,150.0,24.0,2.0,12.0,53.0,1.0,,11.0,,,2.0,15.0,,2.0,,23.0,5.0,221.0,5.0,9.0,75.0,639.0,,,,,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LANIER,,21.0,,1.0,61.0,12.0,1.0,3.0,42.0,,,2.0,,,,2.0,,1.0,,18.0,1.0,67.0,3.0,5.0,18.0,282.0,,,1.0,1.0,17.0,,2.0,,,,1.0,2.0,,2.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,
LAURENS,,193.0,1.0,14.0,407.0,70.0,1.0,23.0,98.0,1.0,,40.0,,,6.0,30.0,1.0,10.0,1.0,36.0,9.0,485.0,4.0,8.0,35.0,609.0,,1.0,41.0,28.0,35.0,1.0,4.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,48.0,,,6.0,,,,,1.0,,,,1.0,,,,,,
LEE,,34.0,,10.0,187.0,44.0,1.0,23.0,87.0,,,23.0,,,20.0,33.0,,7.0,1.0,54.0,17.0,209.0,19.0,20.0,77.0,1279.0,,1.0,,,,1.0,1.0,,,1.0,,1.0,,,,,,,,2.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
LIBERTY,2.0,127.0,1.0,15.0,173.0,172.0,29.0,50.0,89.0,4.0,,6.0,,,,3.0,2.0,25.0,14.0,36.0,89.0,1794.0,345.0,99.0,496.0,1726.0,8.0,1.0,4.0,,,1.0,3.0,,1.0,9.0,,9.0,,1.0,2.0,1.0,5.0,,,,,,,8.0,,,2.0,,,,,1.0,,,1.0,,,,,,,,,,,,
LINCOLN,,35.0,,5.0,69.0,12.0,,5.0,13.0,,,8.0,,,4.0,16.0,,1.0,,7.0,2.0,101.0,3.0,4.0,15.0,243.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG,,18.0,,4.0,68.0,48.0,9.0,9.0,52.0,,,2.0,,,3.0,5.0,,,,3.0,20.0,208.0,61.0,15.0,111.0,588.0,1.0,1.0,,,,,,,,5.0,,2.0,,,,,4.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
LOWNDES,3.0,297.0,1.0,23.0,527.0,262.0,19.0,43.0,275.0,10.0,4.0,377.0,5.0,7.0,47.0,126.0,,21.0,5.0,78.0,62.0,1778.0,103.0,106.0,402.0,3158.0,2.0,2.0,3.0,,1.0,1.0,9.0,,2.0,10.0,,,,,2.0,,3.0,,1.0,,,,,3.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,
LUMPKIN,,6.0,,14.0,278.0,1.0,2.0,26.0,62.0,,,2.0,,,6.0,12.0,,,3.0,29.0,11.0,20.0,34.0,4.0,66.0,1037.0,,1.0,,,5.0,6.0,15.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
